T,Flux,E
5647.88447,13.921,0.003
5647.90231,13.918,0.003
5648.73304,13.920,0.003
5648.77176,13.921,0.003
5648.83708,13.920,0.003
5648.87968,13.918,0.003
5649.74050,13.919,0.003
5649.77713,13.917,0.003
5649.84297,13.914,0.003
5649.88357,13.921,0.003
5650.72989,13.919,0.003
5650.76925,13.920,0.003
5650.83156,13.920,0.003
5650.87589,13.923,0.003
5651.75115,13.917,0.003
5651.79146,13.920,0.003
5651.86345,13.921,0.003
5651.91002,13.920,0.003
5652.79173,13.923,0.003
5652.83405,13.918,0.003
5653.75607,13.916,0.003
5653.87544,13.920,0.003
5653.88855,13.924,0.003
